Sam,,,,,,Grey bold left align = Calculated as proportion of another variable
76,0 to +5%/yr,0,5,2.523,0.025,0.514
77.EQ.76.1,0 to +5%/yr,0,VAR.76,2.523,0.025,0.514
78.EQ.76.2,0 to +5%/yr,0,VAR.76,2.523,0.025,0.514
79.EQ.76.3,0 to +5%/yr,0,VAR.76,2.523,0.025,0.514
80,0 to +10%yr,0,10,3.49,3.263,6.809
81,0 to 90%,0,90,89.468,48.263,59.51
82.EQ.81.1,0 to 90%,0,VAR.81,89.468,48.263,59.51
83.EQ.81.2,0 to 90%,0,VAR.81,89.468,48.263,59.51
SYN.29,Current to +50%,"5,036,070","7,554,105",5351091.008,5881879.509,5753668.217
118,0 to 100% of buildings,0,"7,554,105",669453,1797434.769,1524972.197
119.COM.118,0 to 100% of buildings,0,"7,554,105",4681638.008,4084444.74,4228696.02
120,Current to -50%,76,152,104.14,142.867,100.997
121,Current to -50%,76,152,125.063,89.218,95.308
123,0 to 100% of buildings,0,100,9.695,98.415,97.665
SYNCOM.123,0 to 100% of buildings,0,100,90.305,1.585,2.335
SYN.34,% of SYNCOM.123,0,SYNCOM.123,83.484,0.762,1.178
SYN.35,% of SYN.34,0,SYN.34,24.909,0.432,0.682
129.COM.130,COM of 130,0,SYN.35,12.281,0.297,0.172
133.COM.SYN.35,COM of SYN.35,0,SYN.34,58.575,0.33,0.495
130,% of SYN.35,0,SYN.35,12.628,0.135,0.51
SYNCOM.SYN.34,COM of SYN.34,0,SYNCOM.123,6.821,0.823,1.158
136,% of SYNCOM.SYN.34,0,SYNCOM.SYN.34,3.341,0.046,0.332
135.COM.136,COM of 136,0,SYNCOM.SYN.34,3.48,0.777,0.826
139.EQ.130,EQ to 130,0,SYN.35,12.628,0.135,0.51
140.EQ.129.COM.130,EQ to 129.COM.130,0,SYN.35,12.281,0.297,0.172
141.EQ.133.COM.SYN.35,EQ to 133.COM.SYN.35,0,SYN.34,58.575,0.33,0.495
143.EQ.123+(SYNCOM.123*SYNCOM.SYN.34),123 plus SYNCOM.SYN.34,0,100,16.516,99.238,98.822
144,0 to +5%/yr,0,5,0.322,0.704,1.465
148,90%,0,90,67.808,84.722,46.836
149.EQ.148,EQ to 148,0,90,67.808,84.722,46.836
150,0 to +5%/yr,0,5,0.93,0.907,4.3
151,0 to +5%/yr,0,5,3.352,1.967,0.842
152,+/-5%,-5,5,2.388,-4.214,-3.739
153,0 to 100% of passenger km,0,100,28.691,46.137,46.269
SYNCOM.153,0 to 100% of passenger km,0,100,71.309,53.863,53.731
SYN.44,0 to 100% of passenger km,0,100,42.462,31.785,32.712
154,0 to 100% of passenger km,0,100,21.352,1.683,10.949
SYNCOM.SYN.44,0 to 100% of passenger km,0,100,28.846,22.078,21.019
SYN.46,0 to 100% of passenger km,0,100,0.743,9.954,16.119
155,0 to 100% of passenger km,0,100,0.592,8.26,9.232
156.SYNCOM.155,0 to 100% of passenger km,0,100,0.151,1.694,6.886
SYNCOM.SYN.46,0 to 100% of passenger km,0,100,28.104,12.124,4.9
157,0 to 100% of passenger km,0,100,25.52,10.572,2.436
158.COM.157,0 to 100% of passenger km,0,100,2.584,1.551,2.464
159.COM.154,0 to 100% of passenger km,0,100,21.111,30.102,21.762
364,MW out of current total / 100,0,748,205.151,503.666,215.768
365,MW out of current total / 100,0,748,378.146,736.807,492.716
366,MW out of current total / 100,0,748,704.88,139.013,477.093
367,MW out of current total / 100,0,748,160.153,658.584,531.053
370,MW out of current total,0,74800,73031.071,47104.034,15908.295
371,MW out of current total,0,74800,2461.169,37609.734,56234.064
373,MW out of current total,0,74800,37728.475,41492.492,17131.72
379,MW out of current total,0,74800,61287.74,25540.539,66372.69
380,On (1) or off (0),0,1,1,1,1
382,% out of 100,0,100,42.209,62.026,70.924
383.COM.382,% out of 100,0,100,57.791,37.974,29.076
384,MW out of current total,0,74800,36684.668,5401.165,64202.593
385,MW out of current total,0,74800,56962.761,48456.23,7605.753
386,MW out of current total,0,74800,73689.145,12652.67,20018.6
388,MW out of current total,0,74800,64012.822,44441.9,54082.892
389,MW out of current total /2,0,37400,30489.196,6941.116,30037.68
390,MW out of current total /2,0,37400,5373.684,7780.168,2712.153
391,MW out of current total /2,0,37400,24959.25,34667.036,11968.921
392,MW out of current total /2,0,37400,3226.033,14713.715,36127.202
394,MW out of current total /10,0,7480,4285.244,7293.199,6495.191
395,MW out of current total /10,0,7480,5282.742,4919.646,5969.778
398,MW out of current total /10,0,7480,6668.156,4592.87,3044.448
400,MW out of current total /10,0,7480,730.587,2794.492,2489.085
401,MW out of current total /10,0,7480,1197.915,7327.246,1350.707
603,% out of 100,0,100,86.352,84.282,51.143
604,0.5 to 30h RSV,0.5,30,28.034,17.935,26.743
608,% out of 100,0,100,87.434,30.491,49.215
609,0.5 to 30h RSV,0.5,30,20.613,19.922,6.769
610,% out of 100,0,100,35.574,52.601,84.122
611,0.5 to 30h RSV,0.5,30,20.892,11.268,4.996
612,% out of 100,0,100,87.601,17.015,62.049
613,0.5 to 30h RSV,0.5,30,12.547,11.373,21.52
614,% out of 100,0,100,47.443,35.087,97.341
615,0.5 to 30h RSV,0.5,30,1.954,21.522,17.386
619,"MW out of 50,000",0,"50,000",10420.571,34743.393,10976.036
620,0.5 to 30h RSV,0.5,30,10.866,7.873,17.63
624,"MW out of 10,000",0,10000,289.62,8557.429,1300.915
625,0.5 to 100 RSV,0.5,100,8.981,88.157,17.117
629,"MW out of 10,000",0,10000,8869.594,1766.579,8255.433
630,0.5 to 100 RSV,0.5,100,18.311,9.94,26.638
634,"MW out of 50,000",0,"50,000",19530.381,30899.396,39200.543
635,0.5 to 100h RSV,0.5,100,62.068,0.921,34.033
639,% out of 100,0,100,85.155,58.066,60.648
640,0% to 500%,0,500,160.401,448.828,313.767
641,0.5 to 30h RSV,0.5,30,16.37,5.847,9.269
642,% out of 100,0,100,21.103,13.023,2.02
643,0% to 500%,0,500,282.008,7.848,305.129
644,0.5 to 30h RSV,0.5,30,22.114,12.872,22.126
667,0 to 50% curtailment,0,50,38.711,15.162,39.63
668,0 to 50% curtailment,0,50,45.743,48.028,16.549
669,0 to 50% curtailment,0,50,41.908,18.991,45.257
670,0 to 50% curtailment,0,50,42.927,3.291,11.351
712,+/- 2 degrees C,-2,2,1.304,0.486,-1.956
713,2482h to 3500h,2482,3500,3322.861,3114.606,2493.3
714,3174h to 4500h,3174,4500,4068.114,3829.561,4334.236
715,3174h to 6500h,3174,6500,5409.938,3794.596,4423.382
717,755h to 1361h,755,1361,1106.643,841.778,1076.939
