Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
240,,,,,,Demand,Industry,Refineries,Heat production,Oil-fired heater,,33.30%,%,,,,
241,,,,,,Demand,Industry,Refineries,Heat production,Biomass-fired heater,,33.40%,%,Biomass becomes competitive due to carbon tax,,,
242,,,,,,Demand,Industry,Refineries,Heat production,Coal-fired heater,,0.00%,%,,,,
243,,,,,,Demand,Industry,Refineries,Heat production,Steam network,,0.00%,%,,,,
244,,,,,,Demand,Industry,Refineries,Heat production,H2-fired heater,,0.00%,%,,,,
245,,,,,,Demand,Industry,Refineries,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,0,MW,,,,
246,,,,,,Demand,Industry,Fertilisers,Size,,,100.00%,%,production relative to base year,,,
247,,,,,,Demand,Industry,Fertilisers,Ammonia production route,Local NH3 (steam methane reforming),,33.30%,%,"significant reliance on existing methods for pre-2040 built plants, with potential for CCS",,,
248,,,,,,Demand,Industry,Fertilisers,Ammonia production route,Local NH3 (central hydrogen network),,33.30%,%,hydrogen adoption in industry but only in the newest post-2040 plants,,,
249,,,,,,Demand,Industry,Fertilisers,Ammonia production route,Central NH3 import,,33.40%,%,significant import reliance,,,
250,,,,,,Demand,Industry,Fertilisers,Efficiency improvement (in total),Electricity,,33.00%,%,,,,
251,,,,,,Demand,Industry,Fertilisers,Efficiency improvement (in total),Heat,,33.00%,%,,,,
252,,,,,,Demand,Industry,Fertilisers,Heat production,Gas-fired heater,,,%,,,,
253,,,,,,Demand,Industry,Fertilisers,Heat production,Oil-fired heater,,,%,,,,
254,,,,,,Demand,Industry,Fertilisers,Heat production,Biomass-fired heater,,,%,,,,
255,,,,,,Demand,Industry,Fertilisers,Heat production,Coal-fired heater,,,%,,,,
256,,,,,,Demand,Industry,Fertilisers,Heat production,Steam network,,0.00%,,,,,
257,,,,,,Demand,Industry,Fertilisers,Heat production,H2-fired heater,,0.00%,,,,,
258,,,,,,Demand,Industry,Fertilisers,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,0,MW,,,,
259,,,,,,Demand,Industry,Chemicals,Size,,,100.00%,,,,,
260,,,,,,Demand,Industry,Chemicals,Efficiency improvement (in total),Electricity,,33.00%,,,,,
261,,,,,,Demand,Industry,Chemicals,Efficiency improvement (in total),Heat,,33.00%,,,,,
262,,,,,,Demand,Industry,Chemicals,Heat production,Gas-fired heater,,25.00%,,"Equal distribution of heat production methods across gas, biomass, mechanical vapour recompression, and heat pumps",,,
263,,,,,,Demand,Industry,Chemicals,Heat production,Oil-fired heater,,0.00%,,,,,
264,,,,,,Demand,Industry,Chemicals,Heat production,Coal-fired heater,,0.00%,,,,,
265,,,,,,Demand,Industry,Chemicals,Heat production,Biomass-fired heater,,25.00%,,,,,
266,,,,,,Demand,Industry,Chemicals,Heat production,H2-fired heater,,0.00%,,,,,
267,,,,,,Demand,Industry,Chemicals,Heat production,Electric boiler,,0.00%,,,,,
268,,,,,,Demand,Industry,Chemicals,Heat production,Mechanical vapour recompression,,25.00%,,,,,
269,,,,,,Demand,Industry,Chemicals,Heat production,Heat pump,,25.00%,,,,,
270,,,,,,Demand,Industry,Chemicals,Heat production,Steam network,,0.00%,,,,,
271,,,,,,Demand,Industry,Chemicals,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,0.00%,,,,,
272,,,,,,Demand,Industry,Chemicals,Non-energetic use,Biomass,,25.00%,,Equal distribution apart from coal,,,
273,,,,,,Demand,Industry,Chemicals,Non-energetic use,Hydrogen,,25.00%,,,,,
274,,,,,,Demand,Industry,Chemicals,Non-energetic use,Network gas,,25.00%,,,,,
275,,,,,,Demand,Industry,Chemicals,Non-energetic use,Oil ,,25.00%,,,,,
276,,,,,,Demand,Industry,Chemicals,Non-energetic use,Coal,,0.00%,,,,,
277,,,,,,Demand,Industry,Central ICT,Size,,,200.00%,% ,relative to base year,,,significant but realistic data centre demand growth (2.3% CAGR from 2020)
278,,,,,,Demand,Industry,Central ICT,Efficiency improvement (in total),,,33.00%,%,,,,
279,,,,,,Demand,Industry,Food ,Size,,,116.20%,%,production relative to base year,,,scales with population growth
280,,,,,,Demand,Industry,Food ,Efficiency improvement (in total),Electricity,,33.00%,,,,,
281,,,,,,Demand,Industry,Food ,Efficiency improvement (in total),Heat,,33.00%,,,,,
282,,,,,,Demand,Industry,Food ,Heat production,Gas-fired heater,,33.30%,,,,,"Equal distribution across gas, biomass, and electricity. Assume some on-site electricity generation to justify high electric boiler share"
283,,,,,,Demand,Industry,Food ,Heat production,Oil-fired heater,,0.00%,,,,,
284,,,,,,Demand,Industry,Food ,Heat production,Coal-fired heater,,0.00%,,,,,
285,,,,,,Demand,Industry,Food ,Heat production,Biomass-fired heater,,33.30%,,,,,
286,,,,,,Demand,Industry,Food ,Heat production,H2-fired heater,,0.00%,,,,,
287,,,,,,Demand,Industry,Food ,Heat production,Electric boiler,,33.30%,,,,,
288,,,,,,Demand,Industry,Food ,Heat production,Steam network,,0.00%,,,,,
289,,,,,,Demand,Industry,Food ,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,0.00%,,,,,
290,,,,,,Demand,Industry,Paper,Size,,,100.00%,,production relative to base year,,,
291,,,,,,Demand,Industry,Paper,Efficiency improvement (in total),Electricity,,33.00%,,,,,
292,,,,,,Demand,Industry,Paper,Efficiency improvement (in total),Heat,,33.00%,,,,,
293,,,,,,Demand,Industry,Paper,Heat production,Gas-fired heater,,33.30%,,,,,"Equal distribution across gas, biomass, and electricity. Assume some on-site electricity generation to justify high electric boiler share"
294,,,,,,Demand,Industry,Paper,Heat production,Oil-fired heater,,0.00%,,,,,
295,,,,,,Demand,Industry,Paper,Heat production,Coal-fired heater,,0.00%,,,,,
296,,,,,,Demand,Industry,Paper,Heat production,Biomass-fired heater,,33.30%,,,,,
297,,,,,,Demand,Industry,Paper,Heat production,H2-fired heater,,0.00%,,,,,
298,,,,,,Demand,Industry,Paper,Heat production,Electric boiler,,33.30%,,,,,
299,,,,,,Demand,Industry,Paper,Heat production,Steam network,,0.00%,,,,,
300,,,,,,Demand,Industry,Paper,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,0.00%,,,,,
301,,,,,,Demand,Industry,Other,Size (energetic),,,100.00%,,,,,
302,,,,,,Demand,Industry,Other,Size (non-energetic),,,100.00%,,,,,
303,,,,,,Demand,Industry,Other,Efficiency improvement (in total),Electricity,,33.00%,,,,,
304,,,,,,Demand,Industry,Other,Efficiency improvement (in total),Heat,,33.00%,,,,,
305,,,,,,Demand,Industry,Other,Energetic use of carriers,Biomass,,20.00%,,,,,"Equal distribution between biomass, electricity, oil, gas and heat. Hydrogen excluded from smaller industries, coal and coke banned"
306,,,,,,Demand,Industry,Other,Energetic use of carriers,Electricity,,20.00%,,,,,
307,,,,,,Demand,Industry,Other,Energetic use of carriers,Oil,,20.00%,,,,,
308,,,,,,Demand,Industry,Other,Energetic use of carriers,Gas,,20.00%,,,,,
309,,,,,,Demand,Industry,Other,Energetic use of carriers,Coal,,0.00%,,,,,
310,,,,,,Demand,Industry,Other,Energetic use of carriers,Cokes,,0.00%,,,,,
311,,,,,,Demand,Industry,Other,Energetic use of carriers,Heat,,20.00%,,,,,
312,,,,,,Demand,Industry,Other,Energetic use of carriers,Hydrogen,,0.00%,,,,,
313,,,,,,Demand,Industry,Other,Non-energetic use of carriers,Biomass,,0.00%,,,,,
314,,,,,,Demand,Industry,Other,Non-energetic use of carriers,Oil,,100.00%,,,,,Oil is 100% of UK 2050 ETM default scenario here. Assume same as oil industry continues to run at smaller scale
315,,,,,,Demand,Industry,Other,Non-energetic use of carriers,Gas,,0.00%,,,,,
316,,,,,,Demand,Industry,Other,Non-energetic use of carriers,Coal,,0.00%,,,,,
317,,,,,,Demand,Industry,Other,Non-energetic use of carriers,Cokes,,0.00%,,,,,
318,,,,,,Demand,Industry,Other,Non-energetic use of carriers,Hydrogen,,0.00%,,,,,
319,,,,,,Demand,Industry,Steam network sources,CHPs,Gas CCGT CHPs,,50.00%,,,,,
320,,,,,,Demand,Industry,Steam network sources,CHPs,Gas turbine CHP,,0.00%,,,,,
321,,,,,,Demand,Industry,Steam network sources,CHPs,Gas motor CHP,,0.00%,,,,,
322,,,,,,Demand,Industry,Steam network sources,CHPs,Pulverized coal CHP,,0.00%,,,,,
323,,,,,,Demand,Industry,Steam network sources,CHPs,Biomass CHP,,50.00%,,,,,
324,,,,,,Demand,Industry,Steam network sources,CHPs,Hydrogen turbine CHP,,0.00%,,,,,
325,,,,,,Demand,Industry,Steam network sources,Heaters,Coal heater,,0.00%,,,,,
326,,,,,,Demand,Industry,Steam network sources,Heaters,Oil heater,,100.00%,,,,,
327,,,,,,Demand,Industry,Steam network sources,Heaters,Geothermal heater,,0.00%,,,,,
328,,,,,,Demand,Industry,Steam network sources,Heaters,Hydrogen heater,,0.00%,,,,,
329,,,,,,Demand,Agriculture,Development of demand,Electricity,,,0.00%,%/year,"Population needs for agriculture grow, but offset by efficiency gains",,,
330,,,,,,Demand,Agriculture,Development of demand,Heat,,,0.00%,%/year,,,,
331,,,,,,Demand,Agriculture,Heat,Heat production,Gas-fired heater,,33.30%,,"Equal distribution between gas, biomass, and water heat pump. Therefore majority (67%) decarbonised",,,
332,,,,,,Demand,Agriculture,Heat,Heat production,Oil-fired heater,,0.00%,,,,,
333,,,,,,Demand,Agriculture,Heat,Heat production,Biomass-fired heater,,33.30%,,,,,
334,,,,,,Demand,Agriculture,Heat,Heat production,H2-fired heater,,0.00%,,,,,
335,,,,,,Demand,Agriculture,Heat,Heat production,Water heat pump,,33.40%,,,,,
336,,,,,,Demand,Agriculture,Heat,Heat production,Water heat pump with TS,,0.00%,,,,,
337,,,,,,Demand,Agriculture,Heat,Heat production,Geothermal,,0.00%,,,,,
338,,,,,,Demand,Agriculture,Heat,Heat production,HT district heating,,0.00%,,,,,
339,,,,,,Demand,Agriculture,Heat,Heat production,MT district heating,,0.00%,,,,,
340,,,,,,Demand,Agriculture,Heat,Heat production,Heat from local CHPs,,0.00%,,,,,
341,,,,,,Demand,Agriculture,Heat,Hybrid heating,Power-to heat boiler for gas and H2 heaters,,0,,,,,
342,,,,,,Demand,Agriculture,Heat from local CHPs,Dispatchable capacity,Biomass CHP,,0,,,,,
343,,,,,,Demand,Agriculture,Heat from local CHPs,Dispatchable capacity,Gas motor CHP,,0,,,,,
344,,,,,,Demand,Agriculture,Heat from local CHPs,Must-run capacity,Biogas CHP,,0,,,,,
345,,,,,,Demand,Agriculture,Heat from local CHPs,Must-run capacity,Gas motor CHP,,0,,,,,
346,,,,,,Demand,Other,Energy demand other users,Electricity,,,0.00%,%/year,,,,
347,,,,,,Demand,Other,Energy demand other users,Heat,,,0.00%,%/year,,,,
348,,,,,,Demand,Other,Energy demand other users,Non-energetic,,,0.00%,%/year,,,,
349,,,,,,Demand,Export,Export volumes per carrier,Coal and products,Coal,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
350,,,,,,Demand,Export,Export volumes per carrier,Coal and products,Lignite,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
351,,,,,,Demand,Export,Export volumes per carrier,Coal and products,Cokes,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
352,,,,,,Demand,Export,Export volumes per carrier,Oil and products,Crude oil,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
353,,,,,,Demand,Export,Export volumes per carrier,Oil and products,Kerosene,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
354,,,,,,Demand,Export,Export volumes per carrier,Oil and products,Gasoline,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
355,,,,,,Demand,Export,Export volumes per carrier,Oil and products,Diesel,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
356,,,,,,Demand,Export,Export volumes per carrier,Oil and products,LPG,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
357,,,,,,Demand,Export,Export volumes per carrier,Oil and products,Heavy fuel oil,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
358,,,,,,Demand,Export,Export volumes per carrier,Network gas and derivatives,Network gas,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
359,,,,,,Demand,Export,Export volumes per carrier,Network gas and derivatives,LNG,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
360,,,,,,Demand,Export,Export volumes per carrier,Hydrogen carriers,Hydrogen,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
361,,,,,,Demand,Export,Export volumes per carrier,Hydrogen carriers,Liquid hydrogen,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
362,,,,,,Demand,Export,Export volumes per carrier,Hydrogen carriers,LOHC,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
363,,,,,,Demand,Export,Export volumes per carrier,Hydrogen carriers,Ammonia,,0,PJ,Value for fixed amount of exports of the energy carrier specified,,,
364,,,,,,Supply,Electricity,Coal plants,Pulverized coal,,,0,MW,Electricity output,,,
365,,,,,,Supply,Electricity,Coal plants,Pulverized coal with co-firing,,,0,MW,Electricity output,,,
366,,,,,,Supply,Electricity,Coal plants,Coal IGCC,,,0,MW,Electricity output,,,
367,,,,,,Supply,Electricity,Coal plants,Coal conventional,,,0,MW,Electricity output,,,
368,,,,,,Supply,Electricity,Coal plants,Pulverized coal CHP,,,0,MW,Electricity output,,,
369,,,,,,Supply,Electricity,Coal plants,Pulverized coal CHP with coal firing,,,0,MW,Electricity output,,,
370,,,,,,Supply,Electricity,Gas plants,Gas CCGT,,,InVar,MW,Electricity output,0,"36,584",Current UK figure. https://globalenergymonitor.org/projects/global-oil-gas-plant-tracker/summary-tables/
371,,,,,,Supply,Electricity,Gas plants,Gas turbine,,,0,MW,Electricity output,,,
372,,,,,,Supply,Electricity,Gas plants,Gas conventional,,,0,MW,Electricity output,,,Older technology
373,,,,,,Supply,Electricity,Gas plants,Gas combustion engine,,,0,MW,Electricity output,,,
374,,,,,,Supply,Electricity,Gas plants,Gas CCGT CHP,,,0,MW,Electricity output,,,Exclude CHP from analysis
375,,,,,,Supply,Electricity,Gas plants,Gas motor CHP,,,0,MW,Electricity output,,,
376,,,,,,Supply,Electricity,Oil plants,Oil-fired,,,0,MW,Electricity output,,,Very little oil power generation capacity in Europe
377,,,,,,Supply,Electricity,Oil plants,Diesel generator,,,0,MW,Electricity output,,,
378,,,,,,Supply,Electricity,Nuclear plants,Large reactors,Nuclear 2nd Gen,,0,MW,Electricity output,,,Older technology
379,,,,,,Supply,Electricity,Nuclear plants,Large reactors,Nuclear 3rd Gen,,InVar,MW,Electricity output,0,"24,000",Technology of new nuclear plants today
380,,,,,,Supply,Electricity,Nuclear plants,Large reactors,Dispatchable [OFF] / must-run [ON],,ON,,OFF/ON,,,Large scale nuclear is usually must run
381,,,,,,Supply,Electricity,Nuclear plants,Small reactors,Nuclear small modular reactors,,0,MW,Electricity output,,,Unproven technology
382,,,,,,Supply,Electricity,Coal gas plants,Energy production,,,50%,%,% of excess steelmaking coal gases,,,"Currently used for energy production, but could be used for chemicals"
383,,,,,,Supply,Electricity,Coal gas plants,Chemical feedstock,,,50%,%,% of excess steelmaking coal gases,,,
384,,,,,,Supply,Renewable electricity,Wind turbines,Onshore inland,,,0,MW,,,,
385,,,,,,Supply,Renewable electricity,Wind turbines,Onshore coast,,,0,MW,,,,
386,,,,,,Supply,Renewable electricity,Wind turbines,Offshore,,,0,MW,,,,
387,,,,,,Supply,Renewable electricity,Wind turbines,Offshore with hybrid connection,,,0,MW,,,,
388,,,,,,Supply,Renewable electricity,Wind turbines,Onshore inland with battery system,,,InVar,MW,,"79,000","265,980",
389,,,,,,Supply,Renewable electricity,Solar power,Solar PV households,,,InVar,MW,,"5,200","11,432",SSEE Oxford 2023 paper estimates 25TWh/yr UK realistic rooftop solar generation potential (8% of total rooftop area)
390,,,,,,Supply,Renewable electricity,Solar power,Solar PV buildings,,,0,MW,,,,
391,,,,,,Supply,Renewable electricity,Solar power,Solar PV plants onshore,,,0,MW,,,,
392,,,,,,Supply,Renewable electricity,Solar power,Solar PV plants onshore with battery system,,,InVar,MW,,"12,000","248,300","544TWh/yr land solar potential, or 2% of total land area (SSEE Oxford 2023)"
393,,,,,,Supply,Renewable electricity,Solar power,Concentrated solar power,,,0,MW,,,,
394,,,,,,Supply,Renewable electricity,Hydroelectric power,River,,,240,MW,,,,Existing figures
395,,,,,,Supply,Renewable electricity,Hydroelectric power,Mountain,,,1933,MW,,,,Existing figures 
396,,,,,,Supply,Renewable electricity,Biomass plants,Must-run capacity,Biogas CHP,,0,MW,,,,
397,,,,,,Supply,Renewable electricity,Biomass plants,Must-run capacity,Biomass CHP,,0,MW,,,,
398,,,,,,Supply,Renewable electricity,Biomass plants,Must-run capacity,Biomass power plant,,InVar,MW,,0,15450,
399,,,,,,Supply,Renewable electricity,Biomass plants,Dispatchable capacity,Biomasss CHP,,0,,,,,
400,,,,,,Supply,Renewable electricity,Biomass plants,Dispatchable capacity,Biomass power plant,,InVar,,,0,,
401,,,,,,Supply,Renewable electricity,Waste power,Waste incinerator,,,InVar,,,0,,
402,,,,,,Supply,Renewable electricity,Waste power,Waste CHP,,,0,,,,,
403,,,,,,Supply,Renewable electricity,Hydrogen plants,Hydrogen turbine,,,0,,,,,Unproven technology
404,,,,,,Supply,Renewable electricity,Hydrogen plants,Hydrogen CCGT,,,0,,,,,
405,,,,,,Supply,Renewable electricity,Geothermal,Geothermal electric,,,0,,,,,None large scale in UK
406,,,,,,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP,High temperature,,100%,,,,,
407,,,,,,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP,Medium temperature,,0%,,,,,
408,,,,,,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP with coal firing,High temperature,,100%,,,,,
409,,,,,,Supply,District heating,Allocation of heat from CHPs,Pulverized coal CHP with coal firing,Medium temperature,,0%,,,,,
410,,,,,,Supply,District heating,Allocation of heat from CHPs,Gas CCGT CHP,High temperature,,100%,,,,,
411,,,,,,Supply,District heating,Allocation of heat from CHPs,Gas CCGT CHP,Medium temperature,,0%,,,,,
412,,,,,,Supply,District heating,Allocation of heat from CHPs,Gas motor CHP,High temperature,,100%,,,,,
413,,,,,,Supply,District heating,Allocation of heat from CHPs,Gas motor CHP,Medium temperature,,0%,,,,,
414,,,,,,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (must-run),High temperature,,100%,,,,,
415,,,,,,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (must-run),Medium temperature,,0%,,,,,
416,,,,,,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (dispatchable),High temperature,,100%,,,,,
417,,,,,,Supply,District heating,Allocation of heat from CHPs,Biomass CHP (dispatchable),Medium temperature,,0%,,,,,
418,,,,,,Supply,District heating,Allocation of heat from CHPs,Biogas CHP,High temperature,,100%,,,,,
419,,,,,,Supply,District heating,Allocation of heat from CHPs,Biogas CHP,Medium temperature,,0%,,,,,
420,,,,,,Supply,District heating,Allocation of heat from CHPs,Waste CHP,High temperature,,100%,,,,,
421,,,,,,Supply,District heating,Allocation of heat from CHPs,Waste CHP,Medium temperature,,0%,,,,,
422,,,,,,Supply,District heating,Allocation of power-to-heat,Power-to-heat boiler,High temperature,,100%,,,,,
423,,,,,,Supply,District heating,Allocation of power-to-heat,Power-to-heat boiler,Medium temperature,,0%,,,,,
424,,,,,,Supply,District heating,Allocation of power-to-heat,Power-to-heat heatpump,High temperature,,100%,,,,,
425,,,,,,Supply,District heating,Allocation of power-to-heat,Power-to-heat heatpump,Medium temperature,,0%,,,,,
426,,,,,,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Solar thermal,0,MW,,,,
427,,,,,,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Geothermal (deep),0,MW,,,,
428,,,,,,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Residual heat,0,PJ,,,,
429,,,,,,Supply,District heating,HT district heating,Sources,Must-run / volatile heat sources,Imported heat,0,PJ,,,,
430,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Electric boiler,0,MW,,,,
431,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Collective heat pump,0,MW,,,,
432,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Hydrogen heater,0,MW,,,,
433,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Biomass heater,0,MW,,,,
434,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Waste heater,0,MW,,,,
435,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Oil heater,0,MW,,,,
436,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Gas heater (network gas),0,MW,,,,
437,,,,,,Supply,District heating,HT district heating,Sources,Dispatchable heat sources,Coal heater,0,MW,,,,
438,,,,,,Supply,District heating,HT district heating,(Seasonal) storage of heat,OFF / ON,,OFF,OFF / ON,,,,
439,,,,,,Supply,District heating,HT district heating,(Seasonal) storage of heat,Storage losses,Yearly losses,30%,,,,,Start value
440,,,,,,Supply,District heating,HT district heating,(Seasonal) storage of heat,Storage output capacity,Output capacity (as % of average hourly load),300%,,,,,Default setting
441,,,,,,Supply,District heating,HT district heating,Transport and distribution losses,Transport and distribution losses,,0%,,,,,
442,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Heat from storage,,,,,
443,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Collective heat pump,,,,,
444,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Biomass burner,,,,,
445,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Waste burner,,,,,
446,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Hydrogen burner,,,,,
447,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Electric boiler,,,,,
448,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Gas burner (network gas),,,,,
449,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Oil burner,,,,,
450,,,,,,Supply,District heating,HT district heating,Merit order of dispatchable heat sources,,,Coal burner,,,,,
451,,,,,,Supply,District heating,MT district heating,Must-run / volatile heat sources,Solar thermal,,0,,,,,
452,,,,,,Supply,District heating,MT district heating,Must-run / volatile heat sources,Geothermal (deep),,0,,,,,
453,,,,,,Supply,District heating,MT district heating,Must-run / volatile heat sources,Geothermal (shallow) + heatpump,,0,,,,,
454,,,,,,Supply,District heating,MT district heating,Must-run / volatile heat sources,Residual heat,,0,,,,,
455,,,,,,Supply,District heating,MT district heating,Must-run / volatile heat sources,Imported heat,,0,,,,,
456,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Collective heat pump,,0,,,,,
457,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Electric boiler,,0,,,,,
458,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Hydrogen boiler,,0,,,,,
459,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Biomass heater,,0,,,,,
460,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Waste heater,,0,,,,,
461,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Oil heater,,0,,,,,
462,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Gas heater (network gas),,0,,,,,
463,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Coal heater,,0,,,,,
464,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (surface water),,0,,,,,
465,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (waste water),,0,,,,,
466,,,,,,Supply,District heating,MT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (drink water),,0,,,,,
467,,,,,,Supply,District heating,MT district heating,(Seasonal) storage of heat,OFF / ON,,OFF,OFF / ON,,,,
468,,,,,,Supply,District heating,MT district heating,(Seasonal) storage of heat,Storage losses,Yearly losses,30%,,,,,Start value
469,,,,,,Supply,District heating,MT district heating,(Seasonal) storage of heat,Storage output capacity,Output capacity (as % of average hourly load),300%,,,,,Default setting
470,,,,,,Supply,District heating,MT district heating,Transport and distribution losses,Transport and distribution losses,,0%,,,,,
471,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Heat from storage,,,,,
472,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Collective heat pump,,,,,
473,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Biomass burner,,,,,
474,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Waste burner,,,,,
475,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Hydrogen burner,,,,,
476,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Electric boiler,,,,,
477,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Gas burner (network gas),,,,,
478,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Oil burner,,,,,
479,,,,,,Supply,District heating,MT district heating,Merit order of dispatchable heat sources,,,Coal burner,,,,,
480,,,,,,Supply,District heating,LT district heating,Must-run / volatile heat sources,Solar thermal,,0,,,,,
481,,,,,,Supply,District heating,LT district heating,Must-run / volatile heat sources,Geothermal (shallow),,0,,,,,
482,,,,,,Supply,District heating,LT district heating,Must-run / volatile heat sources,Residual heat,,0,,,,,
483,,,,,,Supply,District heating,LT district heating,Must-run / volatile heat sources,Imported heat,,0,,,,,
484,,,,,,Supply,District heating,LT district heating,Dispatchable heat sources,Collective heat pump,,0,,,,,
485,,,,,,Supply,District heating,LT district heating,Dispatchable heat sources,Electric boiler,,0,,,,,
486,,,,,,Supply,District heating,LT district heating,Dispatchable heat sources,Hydrogen heater,,0,,,,,
487,,,,,,Supply,District heating,LT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (surface water),,0,,,,,
488,,,,,,Supply,District heating,LT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (waste water),,0,,,,,
489,,,,,,Supply,District heating,LT district heating,Dispatchable heat sources,Aquathermal heat pump with TS (drink water),,0,,,,,
490,,,,,,Supply,District heating,LT district heating,(Seasonal) storage of heat,OFF / ON,,OFF,OFF / ON,,,,
491,,,,,,Supply,District heating,LT district heating,(Seasonal) storage of heat,Storage losses,Yearly losses,30%,,,,,Start value
492,,,,,,Supply,District heating,LT district heating,(Seasonal) storage of heat,Storage output capacity,Output capacity (as % of average hourly load),300%,,,,,Default setting
493,,,,,,Supply,District heating,LT district heating,Transport and distribution losses,Transport and distribution losses,,0%,,,,,
494,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Heat from storage,,,,,
495,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Collective heat pump,,,,,
496,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Biomass burner,,,,,
497,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Waste burner,,,,,
498,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Hydrogen burner,,,,,
499,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Electric boiler,,,,,
500,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Gas burner (network gas),,,,,
501,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Oil burner,,,,,
502,,,,,,Supply,District heating,LT district heating,Merit order of dispatchable heat sources,,,Coal burner,,,,,
