Sam,,,,,,Grey bold left align = Calculated as proportion of another variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Var no.,Formula,Min,Max,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,Sample 112,Sample 113,Sample 114,Sample 115,Sample 116,Sample 117,Sample 118,Sample 119,Sample 120,Sample 121,Sample 122,Sample 123,Sample 124,Sample 125,Sample 126,Sample 127,Sample 128,Sample 129,Sample 130,Sample 131,Sample 132,Sample 133,Sample 134,Sample 135,Sample 136,Sample 137,Sample 138,Sample 139,Sample 140,Sample 141,Sample 142,Sample 143,Sample 144,Sample 145,Sample 146,Sample 147,Sample 148,Sample 149,Sample 150,Sample 151,Sample 152,Sample 153,Sample 154,Sample 155,Sample 156,Sample 157,Sample 158,Sample 159,Sample 160,Sample 161,Sample 162,Sample 163,Sample 164,Sample 165,Sample 166,Sample 167,Sample 168,Sample 169,Sample 170,Sample 171,Sample 172,Sample 173,Sample 174,Sample 175,Sample 176,Sample 177,Sample 178,Sample 179,Sample 180,Sample 181,Sample 182,Sample 183,Sample 184,Sample 185,Sample 186,Sample 187,Sample 188,Sample 189,Sample 190,Sample 191,Sample 192,Sample 193,Sample 194,Sample 195,Sample 196,Sample 197,Sample 198,Sample 199,Sample 200,Sample 201,Sample 202,Sample 203,Sample 204,Sample 205,Sample 206,Sample 207,Sample 208,Sample 209,Sample 210,Sample 211,Sample 212,Sample 213,Sample 214,Sample 215,Sample 216,Sample 217,Sample 218,Sample 219,Sample 220,Sample 221,Sample 222,Sample 223,Sample 224,Sample 225,Sample 226,Sample 227,Sample 228,Sample 229,Sample 230,Sample 231,Sample 232,Sample 233,Sample 234,Sample 235,Sample 236,Sample 237,Sample 238,Sample 239,Sample 240,Sample 241,Sample 242,Sample 243,Sample 244,Sample 245,Sample 246,Sample 247,Sample 248,Sample 249,Sample 250
67.EQ.65.2,Current to -50%,-50,VAR.65,4.447,26.202,1.563,30.395,1.736,3.282,26.788,34.565,11.61,23.148,4.958,21.428,20.419,30.863,1.269,38.355,32.936,4.596,19.387,29.63,29.609,0.019,49.389,35.094,41.054,48.297,6.304,34.666,34.591,15.87,36.218,25.194,20.252,29.444,25.984,43.176,0.477,41.899,24.298,42.839,33.694,15.309,10.073,12.29,9.932,0.657,17.622,17.079,13.112,32.02,17.435,25.292,19.512,19.923,49.447,45.312,38.846,45.827,40.651,36.211,14.893,33.185,12.85,27.346,4.475,29.342,19.743,8.071,49.284,24.856,48.203,42.208,5.121,2.487,35.939,38.579,46.778,29.977,27.567,28.227,9.629,39.126,22.758,4.177,33.306,36.886,9.755,33.338,32.81,11.973,30.365,32.149,49.649,36.156,28.135,30.699,14.311,15.662,3.371,24.79,27.647,39.555,31.444,49.172,39.822,15.148,35.156,42.964,37.548,44.133,22.947,27.263,16.569,22.267,12.515,42.46,21.571,31.632,32.601,8.828,41.12,2.912,46.522,38.705,49.819,46.791,34.317,11.032,9.659,16.365,16.226,44.811,22.629,11.822,21.698,31.502,24.729,27.756,37.93,45.647,17.121,0.447,45.686,39.544,33.775,48.084,27.844,23.074,8.52,9.265,47.932,37.456,35.952,26.679,42.332,4.402,27.484,27.348,16.817,0.289,3.456,37.35,10.509,47.112,20.56,20.909,7.564,43.337,39.137,16.953,23.211,19.908,28.855,21.562,29.556,36.489,1.261,11.691,33.186,1.965,3.966,23.925,40.459,12.563,28.671,36.517,18.371,7.885,10.637,19.288,27.099,2.384,11.557,46.97,43.174,28.975,48.089,26.232,48.037,45.074,30.834,26.466,34.108,24.831,32.295,49.38,49.713,2.483,18.998,20.394,47.411,41.09,19.24,4.755,21.358,42.23,42.903,28.547,31.55,26.147,38.965,26.581,0.056,9.294,23.167,9.259,23.23,26.308,0.116,26.984,31.354,10.377,37.796,21.423,32.542,26.127,48.331,24.557,48.617,9.534,35.079,46.816,10.69,38.7,46.925,19.213,45.86,3.609,10.794,20.815
68.EQ.65.3,Current to -50%,-50,VAR.65,4.447,26.202,1.563,30.395,1.736,3.282,26.788,34.565,11.61,23.148,4.958,21.428,20.419,30.863,1.269,38.355,32.936,4.596,19.387,29.63,29.609,0.019,49.389,35.094,41.054,48.297,6.304,34.666,34.591,15.87,36.218,25.194,20.252,29.444,25.984,43.176,0.477,41.899,24.298,42.839,33.694,15.309,10.073,12.29,9.932,0.657,17.622,17.079,13.112,32.02,17.435,25.292,19.512,19.923,49.447,45.312,38.846,45.827,40.651,36.211,14.893,33.185,12.85,27.346,4.475,29.342,19.743,8.071,49.284,24.856,48.203,42.208,5.121,2.487,35.939,38.579,46.778,29.977,27.567,28.227,9.629,39.126,22.758,4.177,33.306,36.886,9.755,33.338,32.81,11.973,30.365,32.149,49.649,36.156,28.135,30.699,14.311,15.662,3.371,24.79,27.647,39.555,31.444,49.172,39.822,15.148,35.156,42.964,37.548,44.133,22.947,27.263,16.569,22.267,12.515,42.46,21.571,31.632,32.601,8.828,41.12,2.912,46.522,38.705,49.819,46.791,34.317,11.032,9.659,16.365,16.226,44.811,22.629,11.822,21.698,31.502,24.729,27.756,37.93,45.647,17.121,0.447,45.686,39.544,33.775,48.084,27.844,23.074,8.52,9.265,47.932,37.456,35.952,26.679,42.332,4.402,27.484,27.348,16.817,0.289,3.456,37.35,10.509,47.112,20.56,20.909,7.564,43.337,39.137,16.953,23.211,19.908,28.855,21.562,29.556,36.489,1.261,11.691,33.186,1.965,3.966,23.925,40.459,12.563,28.671,36.517,18.371,7.885,10.637,19.288,27.099,2.384,11.557,46.97,43.174,28.975,48.089,26.232,48.037,45.074,30.834,26.466,34.108,24.831,32.295,49.38,49.713,2.483,18.998,20.394,47.411,41.09,19.24,4.755,21.358,42.23,42.903,28.547,31.55,26.147,38.965,26.581,0.056,9.294,23.167,9.259,23.23,26.308,0.116,26.984,31.354,10.377,37.796,21.423,32.542,26.127,48.331,24.557,48.617,9.534,35.079,46.816,10.69,38.7,46.925,19.213,45.86,3.609,10.794,20.815
69.EQ.65.4,Current to -50%,-50,VAR.65,4.447,26.202,1.563,30.395,1.736,3.282,26.788,34.565,11.61,23.148,4.958,21.428,20.419,30.863,1.269,38.355,32.936,4.596,19.387,29.63,29.609,0.019,49.389,35.094,41.054,48.297,6.304,34.666,34.591,15.87,36.218,25.194,20.252,29.444,25.984,43.176,0.477,41.899,24.298,42.839,33.694,15.309,10.073,12.29,9.932,0.657,17.622,17.079,13.112,32.02,17.435,25.292,19.512,19.923,49.447,45.312,38.846,45.827,40.651,36.211,14.893,33.185,12.85,27.346,4.475,29.342,19.743,8.071,49.284,24.856,48.203,42.208,5.121,2.487,35.939,38.579,46.778,29.977,27.567,28.227,9.629,39.126,22.758,4.177,33.306,36.886,9.755,33.338,32.81,11.973,30.365,32.149,49.649,36.156,28.135,30.699,14.311,15.662,3.371,24.79,27.647,39.555,31.444,49.172,39.822,15.148,35.156,42.964,37.548,44.133,22.947,27.263,16.569,22.267,12.515,42.46,21.571,31.632,32.601,8.828,41.12,2.912,46.522,38.705,49.819,46.791,34.317,11.032,9.659,16.365,16.226,44.811,22.629,11.822,21.698,31.502,24.729,27.756,37.93,45.647,17.121,0.447,45.686,39.544,33.775,48.084,27.844,23.074,8.52,9.265,47.932,37.456,35.952,26.679,42.332,4.402,27.484,27.348,16.817,0.289,3.456,37.35,10.509,47.112,20.56,20.909,7.564,43.337,39.137,16.953,23.211,19.908,28.855,21.562,29.556,36.489,1.261,11.691,33.186,1.965,3.966,23.925,40.459,12.563,28.671,36.517,18.371,7.885,10.637,19.288,27.099,2.384,11.557,46.97,43.174,28.975,48.089,26.232,48.037,45.074,30.834,26.466,34.108,24.831,32.295,49.38,49.713,2.483,18.998,20.394,47.411,41.09,19.24,4.755,21.358,42.23,42.903,28.547,31.55,26.147,38.965,26.581,0.056,9.294,23.167,9.259,23.23,26.308,0.116,26.984,31.354,10.377,37.796,21.423,32.542,26.127,48.331,24.557,48.617,9.534,35.079,46.816,10.69,38.7,46.925,19.213,45.86,3.609,10.794,20.815
70.EQ.65.5,Current to -50%,-50,VAR.65,4.447,26.202,1.563,30.395,1.736,3.282,26.788,34.565,11.61,23.148,4.958,21.428,20.419,30.863,1.269,38.355,32.936,4.596,19.387,29.63,29.609,0.019,49.389,35.094,41.054,48.297,6.304,34.666,34.591,15.87,36.218,25.194,20.252,29.444,25.984,43.176,0.477,41.899,24.298,42.839,33.694,15.309,10.073,12.29,9.932,0.657,17.622,17.079,13.112,32.02,17.435,25.292,19.512,19.923,49.447,45.312,38.846,45.827,40.651,36.211,14.893,33.185,12.85,27.346,4.475,29.342,19.743,8.071,49.284,24.856,48.203,42.208,5.121,2.487,35.939,38.579,46.778,29.977,27.567,28.227,9.629,39.126,22.758,4.177,33.306,36.886,9.755,33.338,32.81,11.973,30.365,32.149,49.649,36.156,28.135,30.699,14.311,15.662,3.371,24.79,27.647,39.555,31.444,49.172,39.822,15.148,35.156,42.964,37.548,44.133,22.947,27.263,16.569,22.267,12.515,42.46,21.571,31.632,32.601,8.828,41.12,2.912,46.522,38.705,49.819,46.791,34.317,11.032,9.659,16.365,16.226,44.811,22.629,11.822,21.698,31.502,24.729,27.756,37.93,45.647,17.121,0.447,45.686,39.544,33.775,48.084,27.844,23.074,8.52,9.265,47.932,37.456,35.952,26.679,42.332,4.402,27.484,27.348,16.817,0.289,3.456,37.35,10.509,47.112,20.56,20.909,7.564,43.337,39.137,16.953,23.211,19.908,28.855,21.562,29.556,36.489,1.261,11.691,33.186,1.965,3.966,23.925,40.459,12.563,28.671,36.517,18.371,7.885,10.637,19.288,27.099,2.384,11.557,46.97,43.174,28.975,48.089,26.232,48.037,45.074,30.834,26.466,34.108,24.831,32.295,49.38,49.713,2.483,18.998,20.394,47.411,41.09,19.24,4.755,21.358,42.23,42.903,28.547,31.55,26.147,38.965,26.581,0.056,9.294,23.167,9.259,23.23,26.308,0.116,26.984,31.354,10.377,37.796,21.423,32.542,26.127,48.331,24.557,48.617,9.534,35.079,46.816,10.69,38.7,46.925,19.213,45.86,3.609,10.794,20.815
71.EQ.65.6,Current to -50%,-50,VAR.65,4.447,26.202,1.563,30.395,1.736,3.282,26.788,34.565,11.61,23.148,4.958,21.428,20.419,30.863,1.269,38.355,32.936,4.596,19.387,29.63,29.609,0.019,49.389,35.094,41.054,48.297,6.304,34.666,34.591,15.87,36.218,25.194,20.252,29.444,25.984,43.176,0.477,41.899,24.298,42.839,33.694,15.309,10.073,12.29,9.932,0.657,17.622,17.079,13.112,32.02,17.435,25.292,19.512,19.923,49.447,45.312,38.846,45.827,40.651,36.211,14.893,33.185,12.85,27.346,4.475,29.342,19.743,8.071,49.284,24.856,48.203,42.208,5.121,2.487,35.939,38.579,46.778,29.977,27.567,28.227,9.629,39.126,22.758,4.177,33.306,36.886,9.755,33.338,32.81,11.973,30.365,32.149,49.649,36.156,28.135,30.699,14.311,15.662,3.371,24.79,27.647,39.555,31.444,49.172,39.822,15.148,35.156,42.964,37.548,44.133,22.947,27.263,16.569,22.267,12.515,42.46,21.571,31.632,32.601,8.828,41.12,2.912,46.522,38.705,49.819,46.791,34.317,11.032,9.659,16.365,16.226,44.811,22.629,11.822,21.698,31.502,24.729,27.756,37.93,45.647,17.121,0.447,45.686,39.544,33.775,48.084,27.844,23.074,8.52,9.265,47.932,37.456,35.952,26.679,42.332,4.402,27.484,27.348,16.817,0.289,3.456,37.35,10.509,47.112,20.56,20.909,7.564,43.337,39.137,16.953,23.211,19.908,28.855,21.562,29.556,36.489,1.261,11.691,33.186,1.965,3.966,23.925,40.459,12.563,28.671,36.517,18.371,7.885,10.637,19.288,27.099,2.384,11.557,46.97,43.174,28.975,48.089,26.232,48.037,45.074,30.834,26.466,34.108,24.831,32.295,49.38,49.713,2.483,18.998,20.394,47.411,41.09,19.24,4.755,21.358,42.23,42.903,28.547,31.55,26.147,38.965,26.581,0.056,9.294,23.167,9.259,23.23,26.308,0.116,26.984,31.354,10.377,37.796,21.423,32.542,26.127,48.331,24.557,48.617,9.534,35.079,46.816,10.69,38.7,46.925,19.213,45.86,3.609,10.794,20.815
72.EQ.65.7,Current to -50%,-50,VAR.65,4.447,26.202,1.563,30.395,1.736,3.282,26.788,34.565,11.61,23.148,4.958,21.428,20.419,30.863,1.269,38.355,32.936,4.596,19.387,29.63,29.609,0.019,49.389,35.094,41.054,48.297,6.304,34.666,34.591,15.87,36.218,25.194,20.252,29.444,25.984,43.176,0.477,41.899,24.298,42.839,33.694,15.309,10.073,12.29,9.932,0.657,17.622,17.079,13.112,32.02,17.435,25.292,19.512,19.923,49.447,45.312,38.846,45.827,40.651,36.211,14.893,33.185,12.85,27.346,4.475,29.342,19.743,8.071,49.284,24.856,48.203,42.208,5.121,2.487,35.939,38.579,46.778,29.977,27.567,28.227,9.629,39.126,22.758,4.177,33.306,36.886,9.755,33.338,32.81,11.973,30.365,32.149,49.649,36.156,28.135,30.699,14.311,15.662,3.371,24.79,27.647,39.555,31.444,49.172,39.822,15.148,35.156,42.964,37.548,44.133,22.947,27.263,16.569,22.267,12.515,42.46,21.571,31.632,32.601,8.828,41.12,2.912,46.522,38.705,49.819,46.791,34.317,11.032,9.659,16.365,16.226,44.811,22.629,11.822,21.698,31.502,24.729,27.756,37.93,45.647,17.121,0.447,45.686,39.544,33.775,48.084,27.844,23.074,8.52,9.265,47.932,37.456,35.952,26.679,42.332,4.402,27.484,27.348,16.817,0.289,3.456,37.35,10.509,47.112,20.56,20.909,7.564,43.337,39.137,16.953,23.211,19.908,28.855,21.562,29.556,36.489,1.261,11.691,33.186,1.965,3.966,23.925,40.459,12.563,28.671,36.517,18.371,7.885,10.637,19.288,27.099,2.384,11.557,46.97,43.174,28.975,48.089,26.232,48.037,45.074,30.834,26.466,34.108,24.831,32.295,49.38,49.713,2.483,18.998,20.394,47.411,41.09,19.24,4.755,21.358,42.23,42.903,28.547,31.55,26.147,38.965,26.581,0.056,9.294,23.167,9.259,23.23,26.308,0.116,26.984,31.354,10.377,37.796,21.423,32.542,26.127,48.331,24.557,48.617,9.534,35.079,46.816,10.69,38.7,46.925,19.213,45.86,3.609,10.794,20.815
76,0 to +5%/yr,0,5,2.523,0.025,0.514,2.414,2.089,2.213,3.325,2.639,2.766,2.262,1.848,2.305,2.998,2.598,2.393,0.088,2.774,1.443,2.872,1.579,2.178,2.697,0.093,2.262,0.48,1.758,0.466,0.638,3.4,3.426,4.533,1.354,1.269,4.355,3.494,4.334,4.774,3.24,3.227,4.312,2.394,1.162,4.348,2.431,0.294,3.31,2.715,1.412,4.945,4.146,3.409,0.757,2.509,1.223,4.922,2.97,3.821,2.104,2.567,1.698,0,0.372,4.703,3.095,2.065,2.579,4.345,1.653,1.953,3.774,1.805,0.24,2.933,4.436,1.584,2.193,4.724,0.857,4.048,4.688,3.188,4.519,0.567,1.902,3.753,3.17,2.907,3.088,3.979,1.244,1.99,3.181,3.253,1.032,2.911,3.167,1.109,2.068,1.451,1.625,2.993,3.325,0.291,1.679,0.944,0.11,4.362,2.362,0.274,4.235,1.678,3.631,3.015,0.747,4.738,3.256,2.256,0.973,2.826,3.996,2.028,3.21,4.745,2.137,0.888,1.967,1.437,4.224,4.447,0.268,2.43,4.78,1.957,4.324,2.357,2.558,0.34,3.408,2.321,1.69,2.637,3.812,3.717,1.956,2.374,0.544,2.658,3.785,1.744,3.735,2.314,3.969,3.76,0.107,4.641,0.518,1.41,3.195,4.124,4.685,2.706,2.271,0.784,2.898,2.503,4.724,0.987,3.349,4.227,2.553,0.312,3.876,2.812,3.248,0.571,3.631,2.963,3.523,1.307,1.244,2.44,3.766,1.824,4.25,3.443,1.136,3.989,1.319,3.291,3.098,0.637,1.573,0.114,4.428,4.252,1.81,0.081,0.487,1.847,1.757,2.721,2.6,2.33,2.784,2.976,2.086,4.613,1.573,2.582,4.151,0.231,1.826,0.013,1.82,0.441,0.426,2.767,4.907,2.233,4.392,0.101,0.573,1.275,1.288,1.344,4.769,1.267,2.128,4.857,1.823,0.69,0.884,3.478,1.811,4.019,1.46,1.191,3.941,2.843,2.061,2.98,2.822,3.968,0.41,0.958,4.523,0.279,3.553,4.411,3.85
77.EQ.76.1,0 to +5%/yr,0,VAR.76,2.523,0.025,0.514,2.414,2.089,2.213,3.325,2.639,2.766,2.262,1.848,2.305,2.998,2.598,2.393,0.088,2.774,1.443,2.872,1.579,2.178,2.697,0.093,2.262,0.48,1.758,0.466,0.638,3.4,3.426,4.533,1.354,1.269,4.355,3.494,4.334,4.774,3.24,3.227,4.312,2.394,1.162,4.348,2.431,0.294,3.31,2.715,1.412,4.945,4.146,3.409,0.757,2.509,1.223,4.922,2.97,3.821,2.104,2.567,1.698,0,0.372,4.703,3.095,2.065,2.579,4.345,1.653,1.953,3.774,1.805,0.24,2.933,4.436,1.584,2.193,4.724,0.857,4.048,4.688,3.188,4.519,0.567,1.902,3.753,3.17,2.907,3.088,3.979,1.244,1.99,3.181,3.253,1.032,2.911,3.167,1.109,2.068,1.451,1.625,2.993,3.325,0.291,1.679,0.944,0.11,4.362,2.362,0.274,4.235,1.678,3.631,3.015,0.747,4.738,3.256,2.256,0.973,2.826,3.996,2.028,3.21,4.745,2.137,0.888,1.967,1.437,4.224,4.447,0.268,2.43,4.78,1.957,4.324,2.357,2.558,0.34,3.408,2.321,1.69,2.637,3.812,3.717,1.956,2.374,0.544,2.658,3.785,1.744,3.735,2.314,3.969,3.76,0.107,4.641,0.518,1.41,3.195,4.124,4.685,2.706,2.271,0.784,2.898,2.503,4.724,0.987,3.349,4.227,2.553,0.312,3.876,2.812,3.248,0.571,3.631,2.963,3.523,1.307,1.244,2.44,3.766,1.824,4.25,3.443,1.136,3.989,1.319,3.291,3.098,0.637,1.573,0.114,4.428,4.252,1.81,0.081,0.487,1.847,1.757,2.721,2.6,2.33,2.784,2.976,2.086,4.613,1.573,2.582,4.151,0.231,1.826,0.013,1.82,0.441,0.426,2.767,4.907,2.233,4.392,0.101,0.573,1.275,1.288,1.344,4.769,1.267,2.128,4.857,1.823,0.69,0.884,3.478,1.811,4.019,1.46,1.191,3.941,2.843,2.061,2.98,2.822,3.968,0.41,0.958,4.523,0.279,3.553,4.411,3.85
78.EQ.76.2,0 to +5%/yr,0,VAR.76,2.523,0.025,0.514,2.414,2.089,2.213,3.325,2.639,2.766,2.262,1.848,2.305,2.998,2.598,2.393,0.088,2.774,1.443,2.872,1.579,2.178,2.697,0.093,2.262,0.48,1.758,0.466,0.638,3.4,3.426,4.533,1.354,1.269,4.355,3.494,4.334,4.774,3.24,3.227,4.312,2.394,1.162,4.348,2.431,0.294,3.31,2.715,1.412,4.945,4.146,3.409,0.757,2.509,1.223,4.922,2.97,3.821,2.104,2.567,1.698,0,0.372,4.703,3.095,2.065,2.579,4.345,1.653,1.953,3.774,1.805,0.24,2.933,4.436,1.584,2.193,4.724,0.857,4.048,4.688,3.188,4.519,0.567,1.902,3.753,3.17,2.907,3.088,3.979,1.244,1.99,3.181,3.253,1.032,2.911,3.167,1.109,2.068,1.451,1.625,2.993,3.325,0.291,1.679,0.944,0.11,4.362,2.362,0.274,4.235,1.678,3.631,3.015,0.747,4.738,3.256,2.256,0.973,2.826,3.996,2.028,3.21,4.745,2.137,0.888,1.967,1.437,4.224,4.447,0.268,2.43,4.78,1.957,4.324,2.357,2.558,0.34,3.408,2.321,1.69,2.637,3.812,3.717,1.956,2.374,0.544,2.658,3.785,1.744,3.735,2.314,3.969,3.76,0.107,4.641,0.518,1.41,3.195,4.124,4.685,2.706,2.271,0.784,2.898,2.503,4.724,0.987,3.349,4.227,2.553,0.312,3.876,2.812,3.248,0.571,3.631,2.963,3.523,1.307,1.244,2.44,3.766,1.824,4.25,3.443,1.136,3.989,1.319,3.291,3.098,0.637,1.573,0.114,4.428,4.252,1.81,0.081,0.487,1.847,1.757,2.721,2.6,2.33,2.784,2.976,2.086,4.613,1.573,2.582,4.151,0.231,1.826,0.013,1.82,0.441,0.426,2.767,4.907,2.233,4.392,0.101,0.573,1.275,1.288,1.344,4.769,1.267,2.128,4.857,1.823,0.69,0.884,3.478,1.811,4.019,1.46,1.191,3.941,2.843,2.061,2.98,2.822,3.968,0.41,0.958,4.523,0.279,3.553,4.411,3.85
79.EQ.76.3,0 to +5%/yr,0,VAR.76,2.523,0.025,0.514,2.414,2.089,2.213,3.325,2.639,2.766,2.262,1.848,2.305,2.998,2.598,2.393,0.088,2.774,1.443,2.872,1.579,2.178,2.697,0.093,2.262,0.48,1.758,0.466,0.638,3.4,3.426,4.533,1.354,1.269,4.355,3.494,4.334,4.774,3.24,3.227,4.312,2.394,1.162,4.348,2.431,0.294,3.31,2.715,1.412,4.945,4.146,3.409,0.757,2.509,1.223,4.922,2.97,3.821,2.104,2.567,1.698,0,0.372,4.703,3.095,2.065,2.579,4.345,1.653,1.953,3.774,1.805,0.24,2.933,4.436,1.584,2.193,4.724,0.857,4.048,4.688,3.188,4.519,0.567,1.902,3.753,3.17,2.907,3.088,3.979,1.244,1.99,3.181,3.253,1.032,2.911,3.167,1.109,2.068,1.451,1.625,2.993,3.325,0.291,1.679,0.944,0.11,4.362,2.362,0.274,4.235,1.678,3.631,3.015,0.747,4.738,3.256,2.256,0.973,2.826,3.996,2.028,3.21,4.745,2.137,0.888,1.967,1.437,4.224,4.447,0.268,2.43,4.78,1.957,4.324,2.357,2.558,0.34,3.408,2.321,1.69,2.637,3.812,3.717,1.956,2.374,0.544,2.658,3.785,1.744,3.735,2.314,3.969,3.76,0.107,4.641,0.518,1.41,3.195,4.124,4.685,2.706,2.271,0.784,2.898,2.503,4.724,0.987,3.349,4.227,2.553,0.312,3.876,2.812,3.248,0.571,3.631,2.963,3.523,1.307,1.244,2.44,3.766,1.824,4.25,3.443,1.136,3.989,1.319,3.291,3.098,0.637,1.573,0.114,4.428,4.252,1.81,0.081,0.487,1.847,1.757,2.721,2.6,2.33,2.784,2.976,2.086,4.613,1.573,2.582,4.151,0.231,1.826,0.013,1.82,0.441,0.426,2.767,4.907,2.233,4.392,0.101,0.573,1.275,1.288,1.344,4.769,1.267,2.128,4.857,1.823,0.69,0.884,3.478,1.811,4.019,1.46,1.191,3.941,2.843,2.061,2.98,2.822,3.968,0.41,0.958,4.523,0.279,3.553,4.411,3.85
80,0 to +10%yr,0,10,3.49,3.263,6.809,5.149,0.654,9.713,2.498,6.738,1.015,2.384,2.346,1.012,8.201,5.711,1.638,8.624,6.918,8.735,3.046,6.59,6.364,0.399,8.735,7.356,5.909,1.895,9.945,0.156,6.028,3.871,9.6,9.444,0.705,7.719,9.639,5.639,6.094,5.904,8.679,2.796,2.984,4.089,5.979,7.188,0.405,9.462,8.563,7.173,5.336,8.71,6.99,1.485,6.731,5.526,2.081,1.949,6.621,0.353,8.217,6.36,4.478,1.689,7.42,3.931,8.352,7.774,0.704,7.66,3.193,6.02,5.004,7.669,9.008,5.685,1.355,2.339,6.36,5.41,8.844,3.401,0.9,1.938,8.484,3.792,4.316,5.572,5.825,5.436,4.535,9.056,6.953,4.883,9.232,1.143,0.855,6.424,3.112,3.2,8.252,5.806,8.535,8.907,8.413,8.761,7.651,4.399,9.924,2.759,0.824,1.343,5.794,2.353,2.89,3.144,5.677,6.843,1.147,2.433,5.058,8.88,5.516,3.437,7.344,3.9,1.685,1.902,5.024,2.465,2.61,0.155,9.906,0.951,7.677,3.705,8.164,8.548,8.832,9.433,8.897,3.603,4.06,2.825,5.386,0.776,3.331,1.341,3.808,0.028,3.664,5.46,0.328,0.125,2.803,8.378,1.786,8.09,1.178,0.145,5.02,9.563,9.089,8.261,3.677,6.215,9.089,6.567,3.778,5.157,0.046,9.603,3.447,5.122,1.533,3.849,1.662,6.846,0.102,3.421,7.013,5.835,7.517,5.401,9.858,2.467,1.215,7.318,5.358,7.593,7.126,1.882,3.136,5.431,3.632,9.837,8.12,9.189,6.638,5.407,7.528,7.681,4.513,1.915,7.722,3.827,3.382,8.285,4.536,3.707,8.238,9.713,1.386,4.258,3.691,2.173,9.835,6.714,9.536,0.104,5.902,9.569,7.051,8.014,9.639,3.534,5.451,2.169,0.132,0.307,8.106,6.501,9.376,2.894,6.547,1.181,3.27,0.395,0.365,4.591,7.796,2.922,3.081,8.451,9.36,6.488,2.602,1.658,7.347,4.129,9.094,2.982
